Reg_ID,State,District,Vehicle_Type,Manufacturer,Model,Price,Battery_Capacity,Range_KM,Registration_Date
149,Maharashtra,District-49,2W,Ola Electric,Model-20,94089,18,280,2024-04-26
150,Tamil Nadu,District-11,2W,Ola Electric,Model-16,96892,38,72,2023-05-11
151,Uttar Pradesh,District-41,2W,Bajaj,Model-4,167036,60,342,2023-10-21
152,Karnataka,District-45,3W,Kinetic,Model-13,271487,22,584,2024-12-27
153,Haryana,District-37,3W,Mahindra,Model-7,217640,49,455,2025-05-04
154,Gujarat,District-9,2W,Ather,Model-5,166959,52,397,2025-05-14
155,Karnataka,District-34,2W,Ather,Model-7,91401,11,83,2025-02-03
156,Maharashtra,District-41,4W,Mahindra,Model-15,1306577,52,421,2025-10-08
157,Karnataka,District-20,3W,Kinetic,Model-16,255963,45,52,2025-07-04
158,Maharashtra,District-38,2W,Ather,Model-14,110348,30,562,2024-04-12
159,Gujarat,District-16,3W,Mahindra,Model-17,290491,43,173,2024-09-15
160,Rajasthan,District-36,4W,Hyundai,Model-2,1918126,38,72,2023-10-01
161,Maharashtra,District-10,3W,Mahindra,Model-19,348225,47,521,2023-12-02
162,Telangana,District-32,2W,Ola Electric,Model-8,132004,25,295,2024-10-17
163,Karnataka,District-5,3W,Kinetic,Model-14,282496,18,363,2025-11-06
164,Maharashtra,District-48,2W,Bajaj,Model-3,108845,22,320,2024-01-19
165,Karnataka,District-45,2W,Ather,Model-13,133437,27,594,2024-04-10
166,Gujarat,District-24,2W,TVS,Model-16,119113,27,579,2025-05-05
167,Maharashtra,District-45,2W,TVS,Model-1,152453,14,154,2025-09-17
168,Karnataka,District-13,2W,TVS,Model-12,154262,55,89,2025-05-07
169,Tamil Nadu,District-23,Bus,Tata Motors,Model-9,6223209,19,331,2025-01-03
170,Karnataka,District-48,2W,Ola Electric,Model-11,163804,48,160,2025-01-01
171,Gujarat,District-29,Cargo,Euler,Model-4,318071,38,394,2023-05-04
172,Maharashtra,District-5,3W,Mahindra,Model-17,221884,14,149,2024-08-14
173,Maharashtra,District-13,2W,Ola Electric,Model-18,105926,19,383,2024-10-08
174,Delhi,District-10,2W,TVS,Model-4,160955,43,272,2024-03-02
175,Karnataka,District-3,4W,Tata,Model-13,1132662,12,218,2023-06-06
176,Maharashtra,District-50,2W,TVS,Model-3,151462,46,514,2025-07-02
177,Uttar Pradesh,District-7,Bus,Ashok Leyland,Model-17,3454127,10,78,2025-07-08
178,Maharashtra,District-5,4W,Tata,Model-6,1691055,12,304,2023-02-20
179,Rajasthan,District-12,3W,Mahindra,Model-3,211151,32,50,2024-04-04
180,Haryana,District-16,2W,TVS,Model-3,126524,6,154,2025-04-02
181,Delhi,District-37,3W,Piaggio,Model-20,289427,39,535,2024-01-18
182,Tamil Nadu,District-31,2W,Ola Electric,Model-2,167853,36,135,2024-05-15
183,Delhi,District-37,Bus,Tata Motors,Model-9,6970366,53,486,2025-04-25
184,Karnataka,District-9,2W,TVS,Model-16,149450,35,272,2025-04-19
185,Karnataka,District-8,3W,Piaggio,Model-1,303943,56,50,2023-10-20
186,Delhi,District-33,2W,Ather,Model-6,98203,28,276,2025-01-29
187,Karnataka,District-16,3W,Mahindra,Model-8,332280,53,506,2024-03-06
188,Maharashtra,District-26,2W,TVS,Model-5,131125,28,418,2023-07-17
189,Delhi,District-38,2W,Bajaj,Model-7,116329,4,443,2023-06-12
190,Maharashtra,District-36,Cargo,Tata Ace EV,Model-8,255288,49,120,2023-06-30
191,Delhi,District-21,Bus,Ashok Leyland,Model-18,8791342,6,371,2025-06-11
192,Maharashtra,District-42,2W,Ather,Model-18,116153,29,58,2024-07-25
193,Rajasthan,District-7,2W,Ola Electric,Model-19,107640,8,571,2024-06-20
194,Uttar Pradesh,District-18,4W,Tata,Model-10,1326144,27,59,2025-03-15
195,Tamil Nadu,District-36,3W,Kinetic,Model-19,348040,46,49,2023-11-15
196,Maharashtra,District-32,4W,Hyundai,Model-13,1414028,5,167,2024-10-27
197,Maharashtra,District-49,2W,TVS,Model-9,99413,22,303,2024-04-06
198,Delhi,District-13,2W,TVS,Model-16,159662,17,506,2025-11-08
199,Maharashtra,District-11,4W,Tata,Model-20,1909276,23,415,2025-03-18
200,Karnataka,District-39,3W,Kinetic,Model-14,245270,50,242,2025-12-19
201,Maharashtra,District-45,4W,Hyundai,Model-14,1709613,25,216,2025-09-27
202,Delhi,District-31,2W,Ather,Model-1,129658,44,344,2024-01-07
203,Haryana,District-12,3W,Kinetic,Model-20,296692,45,46,2023-02-13
204,Gujarat,District-34,4W,Hyundai,Model-1,1883994,38,570,2024-02-25
205,Kerala,District-46,2W,TVS,Model-13,105295,60,501,2024-07-11
206,Tamil Nadu,District-29,2W,TVS,Model-13,94221,7,436,2025-11-23
207,Uttar Pradesh,District-16,3W,Mahindra,Model-10,204332,15,384,2024-05-31
208,Karnataka,District-39,4W,Tata,Model-12,1893105,15,358,2023-10-01
209,Haryana,District-19,2W,Bajaj,Model-15,95938,16,255,2024-12-19
210,Rajasthan,District-6,2W,Ather,Model-10,170108,25,557,2024-05-24
211,Maharashtra,District-9,3W,Piaggio,Model-5,284587,56,436,2025-01-21
212,Gujarat,District-21,2W,Ather,Model-14,151363,8,191,2023-09-04
213,Haryana,District-12,2W,TVS,Model-1,167452,15,488,2025-04-16
214,Gujarat,District-39,4W,Tata,Model-2,815128,38,364,2024-11-20
215,Delhi,District-3,4W,MG,Model-16,1445002,11,412,2025-06-01
216,Karnataka,District-40,2W,Ather,Model-15,168254,56,281,2023-01-11
217,Telangana,District-46,4W,Mahindra,Model-15,1331562,14,334,2025-12-28
218,Delhi,District-27,2W,Bajaj,Model-7,153265,29,412,2025-01-19
219,Maharashtra,District-1,2W,TVS,Model-2,145261,16,566,2023-05-03
220,Delhi,District-18,2W,Ather,Model-6,141265,12,508,2025-09-03
221,Karnataka,District-40,4W,MG,Model-4,805330,55,208,2025-08-14
222,Haryana,District-4,Cargo,Euler,Model-3,372454,43,260,2024-04-15
223,Maharashtra,District-35,4W,MG,Model-16,988831,42,592,2025-07-05
224,Rajasthan,District-21,Cargo,Euler,Model-9,483968,43,583,2025-12-24
225,Delhi,District-8,2W,Ola Electric,Model-19,126805,32,465,2023-01-12
226,Karnataka,District-44,2W,Bajaj,Model-15,125704,54,574,2025-12-28
227,Karnataka,District-16,2W,Ather,Model-8,169226,11,387,2023-09-13
228,Uttar Pradesh,District-16,2W,Bajaj,Model-7,91640,6,149,2023-07-22
229,Rajasthan,District-22,2W,Ather,Model-20,120341,23,446,2025-02-20
230,Maharashtra,District-46,2W,Ola Electric,Model-17,122068,40,578,2024-05-22
231,Kerala,District-32,2W,TVS,Model-19,100650,30,312,2025-08-25
232,Gujarat,District-48,3W,Piaggio,Model-7,342362,22,433,2025-08-11
233,Maharashtra,District-25,Cargo,Euler,Model-4,362281,55,413,2023-11-24
234,Haryana,District-10,Cargo,Euler,Model-13,456855,52,325,2024-06-20
235,Tamil Nadu,District-34,2W,Bajaj,Model-15,165427,47,183,2023-08-07
236,Maharashtra,District-15,2W,Ather,Model-6,92086,47,51,2023-01-21
237,Karnataka,District-7,2W,Ather,Model-1,131246,49,553,2025-07-22
238,Delhi,District-14,2W,Bajaj,Model-20,174805,23,229,2024-10-28
239,Karnataka,District-34,4W,Mahindra,Model-18,869138,29,474,2025-09-30
240,Maharashtra,District-31,4W,Tata,Model-1,1201494,58,84,2024-02-16
241,Karnataka,District-48,2W,Ather,Model-10,164788,26,585,2025-05-01
242,Karnataka,District-27,4W,Mahindra,Model-11,1957566,10,103,2024-09-11
243,Gujarat,District-48,4W,MG,Model-2,803978,31,372,2024-09-08
244,Haryana,District-5,4W,Tata,Model-3,1680230,23,451,2025-02-09
245,Maharashtra,District-22,2W,TVS,Model-9,126803,18,326,2023-07-25
246,Maharashtra,District-46,2W,Ola Electric,Model-16,155698,29,496,2023-03-09
247,Tamil Nadu,District-11,2W,Ola Electric,Model-14,167671,44,96,2025-01-16
248,Kerala,District-48,3W,Piaggio,Model-5,320502,10,115,2025-06-24
249,Maharashtra,District-37,2W,Ola Electric,Model-11,144458,20,573,2024-11-19
250,Tamil Nadu,District-13,Bus,Tata Motors,Model-13,7609806,57,277,2023-02-08
251,Gujarat,District-36,2W,Bajaj,Model-8,156464,32,109,2024-12-28
252,Maharashtra,District-29,2W,Ather,Model-6,96418,17,74,2023-11-07
253,Uttar Pradesh,District-16,2W,Ather,Model-8,175629,13,270,2024-06-14
254,Maharashtra,District-36,4W,MG,Model-8,888664,5,561,2025-08-21
255,Tamil Nadu,District-23,2W,Ola Electric,Model-4,144486,15,234,2025-03-20
256,Gujarat,District-28,4W,Mahindra,Model-15,1681228,51,133,2025-12-13
257,Gujarat,District-35,2W,Ola Electric,Model-19,99877,28,415,2024-11-11
258,Tamil Nadu,District-37,2W,TVS,Model-3,137743,44,99,2024-03-04
259,Tamil Nadu,District-34,2W,Ola Electric,Model-8,133463,34,331,2023-12-07
260,Tamil Nadu,District-20,3W,Kinetic,Model-2,318326,26,62,2025-02-07
261,Maharashtra,District-16,2W,Ather,Model-20,171577,49,532,2025-07-14
262,Tamil Nadu,District-8,2W,Ather,Model-16,108478,16,454,2024-11-07
263,Maharashtra,District-18,3W,Kinetic,Model-7,298571,23,262,2024-04-20
264,Maharashtra,District-7,2W,Bajaj,Model-6,130724,17,438,2023-10-25
265,Maharashtra,District-13,2W,TVS,Model-8,160194,35,579,2023-05-14
266,Karnataka,District-4,3W,Mahindra,Model-4,277078,27,556,2025-11-17
267,Delhi,District-30,3W,Piaggio,Model-2,341550,15,240,2025-12-02
268,Maharashtra,District-44,3W,Kinetic,Model-20,268329,44,403,2024-05-19
269,Maharashtra,District-28,2W,Bajaj,Model-2,120823,19,174,2025-08-11
270,Tamil Nadu,District-28,4W,Tata,Model-20,1811553,42,318,2024-10-05
271,Uttar Pradesh,District-45,2W,Bajaj,Model-17,165325,25,600,2024-04-17
272,Uttar Pradesh,District-34,2W,Bajaj,Model-4,149126,18,198,2024-08-01
273,Kerala,District-15,3W,Piaggio,Model-3,308337,7,438,2025-06-08
274,Gujarat,District-15,Cargo,Euler,Model-16,271304,32,161,2023-04-21
275,Maharashtra,District-43,2W,TVS,Model-10,154303,58,413,2025-09-04
276,Maharashtra,District-7,2W,Bajaj,Model-6,102552,41,260,2023-07-02
277,Uttar Pradesh,District-29,2W,Bajaj,Model-10,138096,18,571,2023-09-14
278,Maharashtra,District-47,3W,Kinetic,Model-7,338509,50,562,2023-01-13
279,Uttar Pradesh,District-4,2W,Bajaj,Model-10,128729,21,374,2023-07-26
280,Delhi,District-26,2W,TVS,Model-2,162626,18,298,2025-11-14
281,Karnataka,District-32,4W,Tata,Model-20,955563,9,292,2023-08-27
282,Uttar Pradesh,District-31,2W,Ola Electric,Model-16,147752,23,594,2023-07-11
283,Karnataka,District-2,2W,Ather,Model-15,107604,18,470,2023-11-27
284,Delhi,District-16,2W,TVS,Model-17,116332,47,108,2024-08-06
285,Karnataka,District-49,3W,Mahindra,Model-4,315035,33,230,2023-12-23
286,Delhi,District-49,2W,TVS,Model-11,138068,41,247,2025-09-15
287,Maharashtra,District-11,2W,Ola Electric,Model-8,154324,12,114,2024-02-21
288,Rajasthan,District-36,2W,Ola Electric,Model-14,93786,57,45,2025-01-12
289,Delhi,District-36,2W,Ola Electric,Model-7,92002,4,42,2025-01-24
290,Tamil Nadu,District-1,2W,Ola Electric,Model-5,144907,22,165,2024-01-27
291,Tamil Nadu,District-5,2W,TVS,Model-6,129438,24,458,2025-12-03
292,Delhi,District-44,Bus,Ashok Leyland,Model-2,5592457,32,499,2023-07-10
293,Gujarat,District-32,4W,Tata,Model-16,1025506,4,594,2025-08-16
294,Maharashtra,District-31,3W,Kinetic,Model-10,279777,59,460,2024-11-16
295,Haryana,District-26,4W,Mahindra,Model-19,1017394,30,528,2024-11-14
296,Tamil Nadu,District-43,2W,Ola Electric,Model-4,109586,9,168,2024-08-10
297,Rajasthan,District-15,Bus,Tata Motors,Model-6,3231849,60,161,2023-10-15
298,Rajasthan,District-41,2W,TVS,Model-18,176431,31,163,2023-06-23
299,Karnataka,District-11,2W,Bajaj,Model-8,178342,55,77,2023-09-11
300,Tamil Nadu,District-6,Bus,Ashok Leyland,Model-3,6656263,30,282,2025-06-07
301,Karnataka,District-8,2W,TVS,Model-3,162260,12,436,2024-03-02
302,Uttar Pradesh,District-1,Bus,Ashok Leyland,Model-10,6202595,49,296,2024-08-10
303,Maharashtra,District-11,3W,Kinetic,Model-10,200532,6,448,2023-01-20
304,Delhi,District-10,2W,TVS,Model-17,149981,17,104,2023-12-28
305,Maharashtra,District-14,2W,Bajaj,Model-3,161412,10,481,2023-06-17
306,Maharashtra,District-29,3W,Mahindra,Model-18,215844,34,291,2023-03-06
307,Tamil Nadu,District-17,Bus,Ashok Leyland,Model-14,7862562,32,160,2025-02-01
308,Maharashtra,District-48,2W,Ather,Model-13,179507,25,314,2024-05-04
309,Delhi,District-3,2W,Ather,Model-7,153921,59,254,2024-11-22
310,Karnataka,District-13,2W,Bajaj,Model-7,173640,12,264,2023-04-11
311,Kerala,District-13,2W,TVS,Model-1,131459,21,437,2025-11-04
312,Karnataka,District-45,2W,TVS,Model-5,110212,55,500,2024-12-05
313,Tamil Nadu,District-10,Bus,Tata Motors,Model-4,3803292,17,58,2025-05-03
314,Maharashtra,District-26,4W,MG,Model-4,1669642,26,80,2024-11-04
315,Maharashtra,District-35,2W,TVS,Model-10,135401,59,214,2024-10-15
316,Tamil Nadu,District-34,2W,Ather,Model-18,116606,5,456,2024-11-26
317,Delhi,District-32,2W,TVS,Model-7,147046,28,531,2024-12-29
318,Maharashtra,District-18,2W,Ather,Model-14,156079,40,352,2024-01-03
319,Gujarat,District-2,3W,Kinetic,Model-17,284699,43,287,2024-01-06
320,Gujarat,District-35,2W,Ola Electric,Model-8,142965,49,303,2023-08-12
321,Maharashtra,District-3,2W,Ola Electric,Model-19,127283,14,535,2025-03-20
322,Maharashtra,District-20,2W,Ola Electric,Model-17,115523,53,275,2025-04-24
323,Gujarat,District-41,2W,Bajaj,Model-15,144011,56,344,2025-12-17
324,Tamil Nadu,District-8,3W,Kinetic,Model-4,203286,24,539,2023-05-15
325,Uttar Pradesh,District-35,2W,TVS,Model-11,117720,38,593,2024-10-14
326,Tamil Nadu,District-1,Cargo,Euler,Model-2,433552,31,517,2025-01-23
327,Delhi,District-42,3W,Piaggio,Model-15,262414,16,500,2025-10-30
328,Tamil Nadu,District-48,Bus,Ashok Leyland,Model-10,4193103,38,162,2025-09-01
329,Gujarat,District-16,2W,Ather,Model-11,127630,53,250,2023-08-15
330,Tamil Nadu,District-16,2W,TVS,Model-20,105664,59,327,2024-11-01
331,Maharashtra,District-46,2W,Ather,Model-3,177245,44,52,2024-06-30
332,Maharashtra,District-25,2W,Ola Electric,Model-4,170083,30,468,2024-12-25
333,Maharashtra,District-41,4W,MG,Model-5,1065174,53,562,2024-06-05
334,Maharashtra,District-42,2W,TVS,Model-10,162139,37,540,2023-08-26
335,Delhi,District-3,2W,Ather,Model-9,99958,56,181,2023-02-25
336,Karnataka,District-21,Cargo,Euler,Model-17,433265,59,46,2024-09-05
337,Karnataka,District-17,Bus,Tata Motors,Model-9,7237964,33,71,2025-12-11
338,Rajasthan,District-43,2W,Ola Electric,Model-15,164716,38,87,2024-09-17
339,Maharashtra,District-31,Bus,Ashok Leyland,Model-18,8721471,33,70,2024-09-13
340,Delhi,District-28,4W,Mahindra,Model-18,1603944,49,449,2023-07-02
341,Maharashtra,District-47,2W,Ather,Model-11,162735,6,589,2024-01-13
342,Rajasthan,District-22,2W,Bajaj,Model-20,114748,20,253,2023-07-09
343,Delhi,District-49,2W,Ather,Model-14,173957,59,479,2023-11-11
